exp,Kp,u,t,i
0,1.0,5.0,2.1457672119140625e-06,0.13
0,1.0,5.0,0.006952762603759766,0.15
0,1.0,5.0,0.010985612869262695,0.03
0,1.0,5.0,0.015067815780639648,0.13
0,1.0,5.0,0.019075632095336914,0.16
0,1.0,5.0,0.023113012313842773,0.0
0,1.0,5.0,0.027112960815429688,0.12
0,1.0,5.0,0.031107664108276367,-0.02
0,1.0,5.0,0.035108089447021484,0.16
0,1.0,5.0,0.039525508880615234,0.02
0,1.0,5.0,0.043238162994384766,0.11
0,1.0,5.0,0.04747581481933594,0.06
0,1.0,5.0,0.05129814147949219,0.05
0,1.0,5.0,0.05546855926513672,0.15
0,1.0,5.0,0.05947995185852051,0.02
0,1.0,5.0,0.06347274780273438,-0.08
0,1.0,5.0,0.06752181053161621,0.09
0,1.0,5.0,0.0711519718170166,0.12
0,1.0,5.0,0.0750880241394043,0.09
0,1.0,5.0,0.07893586158752441,0.02
0,1.0,5.0,0.08299374580383301,0.17
0,1.0,5.0,0.08707714080810547,0.03
0,1.0,5.0,0.0910649299621582,0.08
0,1.0,5.0,0.09496164321899414,0.03
0,1.0,5.0,0.09896326065063477,0.0
0,1.0,5.0,0.10299825668334961,0.06
0,1.0,5.0,0.10708856582641602,0.0
0,1.0,5.0,0.11112523078918457,0.32
0,1.0,5.0,0.1151285171508789,0.1
0,1.0,5.0,0.11908149719238281,0.16
0,1.0,5.0,0.12321782112121582,0.1
0,1.0,5.0,0.12733864784240723,-0.03
0,1.0,5.0,0.13150954246520996,-0.11
0,1.0,5.0,0.13551974296569824,0.04
0,1.0,5.0,0.13946890830993652,0.04
0,1.0,5.0,0.14332294464111328,0.13
0,1.0,5.0,0.1471543312072754,-0.08
0,1.0,5.0,0.151292085647583,0.03
0,1.0,5.0,0.15547561645507812,0.06
0,1.0,5.0,0.15947461128234863,0.01
0,1.0,5.0,0.16322779655456543,0.12
0,1.0,5.0,0.16751956939697266,0.04
0,1.0,5.0,0.17127633094787598,0.07
0,1.0,5.0,0.17528605461120605,0.07
0,1.0,5.0,0.17941808700561523,0.1
0,1.0,5.0,0.18348097801208496,0.0
0,1.0,5.0,0.18746733665466309,0.12
0,1.0,5.0,0.19121193885803223,0.12
0,1.0,5.0,0.19493460655212402,0.18
0,1.0,5.0,0.198958158493042,0.09
0,1.0,5.0,0.2030656337738037,-0.01
0,1.0,5.0,0.2074429988861084,0.1
0,1.0,5.0,0.2114570140838623,-0.01
0,1.0,5.0,0.2154543399810791,-0.04
0,1.0,5.0,0.21937179565429688,0.0
0,1.0,5.0,0.22358345985412598,0.18
0,1.0,5.0,0.2282578945159912,0.11
0,1.0,5.0,0.23243188858032227,0.05
0,1.0,5.0,0.23653578758239746,0.17
0,1.0,5.0,0.24045515060424805,0.18
0,1.0,5.0,0.2442009449005127,0.11
0,1.0,5.0,0.2485356330871582,0.07
0,1.0,5.0,0.25252866744995117,0.0
0,1.0,5.0,0.25658154487609863,0.11
0,1.0,5.0,0.261549711227417,0.04
0,1.0,5.0,0.2652602195739746,0.04
0,1.0,5.0,0.26935791969299316,0.15
0,1.0,5.0,0.27337169647216797,0.0
0,1.0,5.0,0.2772204875946045,-0.01
0,1.0,5.0,0.28151488304138184,0.11
0,1.0,5.0,0.28509020805358887,0.08
0,1.0,5.0,0.2889726161956787,0.05
0,1.0,5.0,0.29288196563720703,0.0
0,1.0,5.0,0.2970542907714844,0.16
0,1.0,5.0,0.3010828495025635,0.01
0,1.0,5.0,0.3054666519165039,0.19
0,1.0,5.0,0.3095250129699707,0.13
0,1.0,5.0,0.3135356903076172,0.07
0,1.0,5.0,0.31752681732177734,0.07
0,1.0,5.0,0.32155632972717285,0.01
0,1.0,5.0,0.32555484771728516,-0.05
0,1.0,5.0,0.32921624183654785,0.07
0,1.0,5.0,0.3335304260253906,0.09
0,1.0,5.0,0.337127685546875,0.08
0,1.0,5.0,0.34131312370300293,0.07
0,1.0,5.0,0.3452494144439697,0.09
0,1.0,5.0,0.34955334663391113,0.0
0,1.0,5.0,0.3532717227935791,0.13
0,1.0,5.0,0.35747456550598145,0.17
0,1.0,5.0,0.36138296127319336,0.02
0,1.0,5.0,0.36544132232666016,0.14
0,1.0,5.0,0.3689289093017578,0.09
0,1.0,5.0,0.37294864654541016,0.06
0,1.0,5.0,0.376786470413208,0.0
0,1.0,5.0,0.38071346282958984,0.13
0,1.0,5.0,0.3848586082458496,0.07
0,1.0,5.0,0.38868165016174316,0.07
0,1.0,5.0,0.3917398452758789,0.0
0,1.0,5.0,0.3959846496582031,0.3
0,1.0,5.0,0.3999779224395752,0.0
0,1.0,5.0,0.40410470962524414,0.1
0,1.0,5.0,0.4084897041320801,0.06
0,1.0,5.0,0.41210365295410156,0.22
0,1.0,5.0,0.4164457321166992,0.17
0,1.0,5.0,0.42047786712646484,0.06
0,1.0,5.0,0.42444324493408203,0.25
0,1.0,5.0,0.42844605445861816,0.11
0,1.0,5.0,0.4324216842651367,0.14
0,1.0,5.0,0.43642520904541016,0.14
0,1.0,5.0,0.4404265880584717,0.08
0,1.0,5.0,0.4441819190979004,0.0
0,1.0,5.0,0.4485280513763428,0.05
0,1.0,5.0,0.4522438049316406,0.14
0,1.0,5.0,0.45644521713256836,0.02
0,1.0,5.0,0.46044230461120605,0.05
0,1.0,5.0,0.46416211128234863,0.13
0,1.0,5.0,0.4683692455291748,0.16
0,1.0,5.0,0.47255611419677734,0.04
0,1.0,5.0,0.4761641025543213,0.0
0,1.0,5.0,0.4805777072906494,0.15
0,1.0,5.0,0.4842488765716553,0.24
0,1.0,5.0,0.48810601234436035,0.0
0,1.0,5.0,0.4920830726623535,0.07
0,1.0,5.0,0.49629974365234375,0.1
0,1.0,5.0,0.5003519058227539,0.0
0,1.0,5.0,0.5041661262512207,0.16
0,1.0,5.0,0.5081708431243896,0.18
0,1.0,5.0,0.512160062789917,0.25
0,1.0,5.0,0.5162913799285889,0.1
0,1.0,5.0,0.5202939510345459,0.17
0,1.0,5.0,0.5242788791656494,0.14
0,1.0,5.0,0.528634786605835,0.0
0,1.0,5.0,0.5336010456085205,0.05
0,1.0,5.0,0.5376043319702148,0.09
0,1.0,5.0,0.5411231517791748,-0.04
0,1.0,5.0,0.5456573963165283,0.15
0,1.0,5.0,0.550225019454956,0.02
0,1.0,5.0,0.5546386241912842,0.01
0,1.0,5.0,0.5594747066497803,0.09
0,1.0,5.0,0.5636534690856934,0.15
0,1.0,5.0,0.5683884620666504,0.18
0,1.0,5.0,0.5724127292633057,0.28
0,1.0,5.0,0.5762159824371338,0.08
0,1.0,5.0,0.5806009769439697,0.07
0,1.0,5.0,0.5841116905212402,0.08
0,1.0,5.0,0.5885837078094482,0.03
0,1.0,5.0,0.5921461582183838,0.04
0,1.0,5.0,0.595811128616333,0.32
0,1.0,5.0,0.6000263690948486,0.1
0,1.0,5.0,0.6032676696777344,0.12
0,1.0,5.0,0.6071460247039795,0.07
0,1.0,5.0,0.6114590167999268,0.18
0,1.0,5.0,0.6154429912567139,-0.04
0,1.0,5.0,0.619384765625,0.08
0,1.0,5.0,0.6237003803253174,0.06
0,1.0,5.0,0.6286318302154541,0.05
0,1.0,5.0,0.6331026554107666,0.11
0,1.0,5.0,0.6375701427459717,0.09
0,1.0,5.0,0.641636848449707,0.06
0,1.0,5.0,0.6465024948120117,0.1
0,1.0,5.0,0.6506016254425049,0.16
0,1.0,5.0,0.6542198657989502,0.09
0,1.0,5.0,0.6585638523101807,0.07
0,1.0,5.0,0.6621358394622803,0.34
0,1.0,5.0,0.6662003993988037,0.06
0,1.0,5.0,0.6701381206512451,0.03
0,1.0,5.0,0.6740870475769043,0.06
0,1.0,5.0,0.6782007217407227,0.18
0,1.0,5.0,0.6826131343841553,0.11
0,1.0,5.0,0.6866390705108643,-0.05
0,1.0,5.0,0.691171407699585,0.07
0,1.0,5.0,0.694983959197998,0.03
0,1.0,5.0,0.6989715099334717,0.12
0,1.0,5.0,0.7030644416809082,0.12
0,1.0,5.0,0.7070813179016113,0.12
0,1.0,5.0,0.7113165855407715,0.18
0,1.0,5.0,0.7151322364807129,0.06
0,1.0,5.0,0.719332218170166,0.17
0,1.0,5.0,0.7235932350158691,0.08
0,1.0,5.0,0.7272069454193115,0.09
0,1.0,5.0,0.7310905456542969,0.1
0,1.0,5.0,0.735170841217041,0.02
0,1.0,5.0,0.7391932010650635,0.07
0,1.0,5.0,0.7432622909545898,0.11
0,1.0,5.0,0.747246265411377,0.1
0,1.0,5.0,0.7513010501861572,0.14
0,1.0,5.0,0.7553200721740723,0.11
0,1.0,5.0,0.7593433856964111,0.05
0,1.0,5.0,0.7631261348724365,0.29
0,1.0,5.0,0.7668793201446533,0.08
0,1.0,5.0,0.7709338665008545,0.17
0,1.0,5.0,0.7749745845794678,0.09
0,1.0,5.0,0.7789320945739746,0.0
0,1.0,5.0,0.7829647064208984,0.1
0,1.0,5.0,0.786766529083252,0.17
0,1.0,5.0,0.7909462451934814,0.18
0,1.0,5.0,0.7949247360229492,0.03
0,1.0,5.0,0.7989370822906494,0.0
0,1.0,5.0,0.8029811382293701,0.1
0,1.0,5.0,0.8071467876434326,0.32
0,1.0,5.0,0.8110899925231934,0.07
0,1.0,5.0,0.8154909610748291,0.15
0,1.0,5.0,0.8192451000213623,0.23
0,1.0,5.0,0.823185920715332,-0.05
0,1.0,5.0,0.8272850513458252,0.03
0,1.0,5.0,0.8314626216888428,0.29
0,1.0,5.0,0.8354463577270508,0.09
0,1.0,5.0,0.8392307758331299,0.22
0,1.0,5.0,0.8433699607849121,0.05
