exp,Ki,u,t,i
0,0.0002,5.0,6.4373016357421875e-06,2.52
0,0.0002,5.0,0.007843732833862305,2.5
0,0.0002,5.0,0.011806964874267578,2.5300000000000002
0,0.0002,5.0,0.015591621398925781,2.5100000000000002
0,0.0002,5.0,0.01955413818359375,2.5100000000000002
0,0.0002,5.0,0.023773670196533203,2.52
0,0.0002,5.0,0.027785062789916992,2.5300000000000002
0,0.0002,5.0,0.03176522254943848,2.5100000000000002
0,0.0002,5.0,0.035593509674072266,2.5
0,0.0002,5.0,0.03971552848815918,2.5100000000000002
0,0.0002,5.0,0.043675899505615234,2.5100000000000002
0,0.0002,5.0,0.04753994941711426,2.5100000000000002
0,0.0002,5.0,0.051622629165649414,2.5100000000000002
0,0.0002,5.0,0.05579423904418945,2.49
0,0.0002,5.0,0.05979752540588379,2.5
0,0.0002,5.0,0.06384086608886719,2.5
0,0.0002,5.0,0.0678560733795166,2.52
0,0.0002,5.0,0.0718541145324707,2.5100000000000002
0,0.0002,5.0,0.07585263252258301,2.5
0,0.0002,5.0,0.07974386215209961,2.5
0,0.0002,5.0,0.08390045166015625,2.49
0,0.0002,5.0,0.08789753913879395,2.5
0,0.0002,5.0,0.09185171127319336,2.49
0,0.0002,5.0,0.09586048126220703,2.5
0,0.0002,5.0,0.09986519813537598,2.5
0,0.0002,5.0,0.1038661003112793,2.5100000000000002
0,0.0002,5.0,0.10785675048828125,2.49
0,0.0002,5.0,0.11185956001281738,2.5100000000000002
0,0.0002,5.0,0.11569833755493164,2.5
0,0.0002,5.0,0.11972618103027344,2.52
0,0.0002,5.0,0.12372875213623047,2.49
0,0.0002,5.0,0.12781929969787598,2.5
0,0.0002,5.0,0.13185763359069824,2.5100000000000002
0,0.0002,5.0,0.13586091995239258,2.49
0,0.0002,5.0,0.13988041877746582,2.5
0,0.0002,5.0,0.14387845993041992,2.5
0,0.0002,5.0,0.14788174629211426,2.49
0,0.0002,5.0,0.15186762809753418,2.5
0,0.0002,5.0,0.15583562850952148,2.5
0,0.0002,5.0,0.15987062454223633,2.5
0,0.0002,5.0,0.16382622718811035,2.5100000000000002
0,0.0002,5.0,0.1678464412689209,2.49
0,0.0002,5.0,0.17177057266235352,2.49
0,0.0002,5.0,0.1757817268371582,2.5
0,0.0002,5.0,0.1796712875366211,2.5
0,0.0002,5.0,0.1834874153137207,2.48
0,0.0002,5.0,0.1876811981201172,2.5100000000000002
0,0.0002,5.0,0.1917881965637207,2.5
0,0.0002,5.0,0.19582748413085938,2.49
0,0.0002,5.0,0.1998145580291748,2.49
0,0.0002,5.0,0.20383310317993164,2.5
0,0.0002,5.0,0.2078237533569336,2.5
0,0.0002,5.0,0.21183276176452637,2.48
0,0.0002,5.0,0.21568703651428223,2.49
0,0.0002,5.0,0.21947741508483887,2.5100000000000002
0,0.0002,5.0,0.22337985038757324,2.5100000000000002
0,0.0002,5.0,0.22770071029663086,2.49
0,0.0002,5.0,0.2317807674407959,2.49
0,0.0002,5.0,0.23591232299804688,2.5
0,0.0002,5.0,0.23995661735534668,2.49
0,0.0002,5.0,0.24393272399902344,2.5
0,0.0002,5.0,0.24802017211914062,2.48
0,0.0002,5.0,0.2519543170928955,2.5
0,0.0002,5.0,0.2560281753540039,2.5
0,0.0002,5.0,0.26001739501953125,2.49
0,0.0002,5.0,0.2640876770019531,2.47
0,0.0002,5.0,0.26796507835388184,2.49
0,0.0002,5.0,0.27200794219970703,2.5100000000000002
0,0.0002,5.0,0.27593541145324707,2.48
0,0.0002,5.0,0.28009533882141113,2.52
0,0.0002,5.0,0.28391408920288086,2.5100000000000002
0,0.0002,5.0,0.287919282913208,2.5100000000000002
0,0.0002,5.0,0.2919001579284668,2.49
0,0.0002,5.0,0.2959437370300293,2.5
0,0.0002,5.0,0.2999129295349121,2.49
0,0.0002,5.0,0.3039414882659912,2.52
0,0.0002,5.0,0.3079102039337158,2.5
0,0.0002,5.0,0.3119680881500244,2.49
0,0.0002,5.0,0.3158440589904785,2.52
0,0.0002,5.0,0.31943774223327637,2.5100000000000002
0,0.0002,5.0,0.3236045837402344,2.5
0,0.0002,5.0,0.3276481628417969,2.5100000000000002
0,0.0002,5.0,0.33169984817504883,2.5
0,0.0002,5.0,0.3356950283050537,2.49
0,0.0002,5.0,0.3397228717803955,2.49
0,0.0002,5.0,0.34373903274536133,2.5
0,0.0002,5.0,0.34795403480529785,2.48
0,0.0002,5.0,0.3519265651702881,2.49
0,0.0002,5.0,0.3558943271636963,2.5100000000000002
0,0.0002,5.0,0.3599052429199219,2.5
0,0.0002,5.0,0.3639216423034668,2.49
0,0.0002,5.0,0.3679215908050537,2.5100000000000002
0,0.0002,5.0,0.37189340591430664,2.5
0,0.0002,5.0,0.37584924697875977,2.49
0,0.0002,5.0,0.37969255447387695,2.5100000000000002
0,0.0002,5.0,0.38362693786621094,2.5
0,0.0002,5.0,0.387664794921875,2.5
0,0.0002,5.0,0.3918898105621338,2.48
0,0.0002,5.0,0.39589858055114746,2.48
0,0.0002,5.0,0.39988136291503906,2.5100000000000002
0,0.0002,5.0,0.40385937690734863,2.5100000000000002
0,0.0002,5.0,0.4078643321990967,2.5100000000000002
0,0.0002,5.0,0.4117851257324219,2.49
0,0.0002,5.0,0.4158012866973877,2.49
0,0.0002,5.0,0.41960835456848145,2.49
0,0.0002,5.0,0.42349958419799805,2.5
0,0.0002,5.0,0.4275808334350586,2.5
0,0.0002,5.0,0.43160581588745117,2.5
0,0.0002,5.0,0.43561768531799316,2.5100000000000002
0,0.0002,5.0,0.4396543502807617,2.5100000000000002
0,0.0002,5.0,0.44345903396606445,2.5
0,0.0002,5.0,0.44741201400756836,2.5
0,0.0002,5.0,0.4517393112182617,2.48
0,0.0002,5.0,0.4557528495788574,2.49
0,0.0002,5.0,0.4597153663635254,2.5100000000000002
0,0.0002,5.0,0.46384620666503906,2.49
0,0.0002,5.0,0.4678051471710205,2.49
0,0.0002,5.0,0.4718611240386963,2.49
0,0.0002,5.0,0.4758269786834717,2.5
0,0.0002,5.0,0.47975945472717285,2.5100000000000002
0,0.0002,5.0,0.48389506340026855,2.52
0,0.0002,5.0,0.48782944679260254,2.5100000000000002
0,0.0002,5.0,0.49183201789855957,2.49
0,0.0002,5.0,0.4958066940307617,2.49
0,0.0002,5.0,0.49982380867004395,2.49
0,0.0002,5.0,0.5038187503814697,2.52
0,0.0002,5.0,0.5118343830108643,2.6
0,0.0002,5.0,0.5158064365386963,2.66
0,0.0002,5.0,0.5195400714874268,2.71
0,0.0002,5.0,0.5233793258666992,2.77
0,0.0002,5.0,0.5273511409759521,2.81
0,0.0002,5.0,0.531388521194458,2.89
0,0.0002,5.0,0.5353870391845703,2.93
0,0.0002,5.0,0.5393848419189453,3.0
0,0.0002,5.0,0.5438499450683594,3.04
0,0.0002,5.0,0.5476090908050537,3.09
0,0.0002,5.0,0.5514540672302246,3.16
0,0.0002,5.0,0.5553691387176514,3.19
0,0.0002,5.0,0.5593252182006836,3.23
0,0.0002,5.0,0.5626728534698486,3.29
0,0.0002,5.0,0.5667040348052979,3.33
